Sales Person,Country,Product,Date,Amount,Boxes Shipped,Year,Quarter,Month,Day
Dotty Strutley,Australia,Choco Coated Almonds,2022-04-13,1645.0,284,2022,2,4,13
Kaine Padly,UK,50% Dark Bites,2022-02-21,3143.0,67,2022,1,2,21
Roddy Speechley,Canada,Choco Coated Almonds,2022-05-11,5873.0,249,2022,2,5,11
Ches Bonnell,India,50% Dark Bites,2022-04-15,11298.0,313,2022,2,4,15
Oby Sorrel,Canada,Peanut Butter Cubes,2022-06-07,12425.0,167,2022,2,6,7
Oby Sorrel,UK,White Choc,2022-06-27,1715.0,286,2022,2,6,27
Barr Faughny,India,After Nines,2022-07-29,8190.0,109,2022,3,7,29
Wilone O'Kielt,Canada,Smooth Sliky Salty,2022-06-02,4991.0,166,2022,2,6,2
Rafaelita Blaksland,India,Mint Chip Choco,2022-01-26,15491.0,85,2022,1,1,26
Rafaelita Blaksland,Canada,99% Dark & Pure,2022-03-02,5096.0,142,2022,1,3,2
Van Tuxwell,Australia,70% Dark Bites,2022-01-10,7063.0,104,2022,1,1,10
Beverie Moffet,USA,70% Dark Bites,2022-06-27,2275.0,115,2022,2,6,27
Barr Faughny,Canada,Orange Choco,2022-06-30,7602.0,18,2022,2,6,30
Roddy Speechley,Australia,85% Dark Bars,2022-07-08,4200.0,80,2022,3,7,8
Oby Sorrel,India,Spicy Special Slims,2022-06-08,11137.0,88,2022,2,6,8
Jan Morforth,UK,Manuka Honey Choco,2022-08-18,3388.0,212,2022,3,8,18
Kaine Padly,Australia,After Nines,2022-04-08,6832.0,306,2022,2,4,8
Wilone O'Kielt,Canada,Fruit & Nut Bars,2022-08-08,3437.0,181,2022,3,8,8
Wilone O'Kielt,UK,Milk Bars,2022-08-26,301.0,65,2022,3,8,26
Oby Sorrel,Canada,Fruit & Nut Bars,2022-01-14,1869.0,158,2022,1,1,14
Dennison Crosswaite,USA,Baker's Choco Chips,2022-08-11,17465.0,271,2022,3,8,11
Madelene Upcott,USA,Almond Choco,2022-05-31,10143.0,24,2022,2,5,31
Van Tuxwell,New Zealand,50% Dark Bites,2022-07-11,3626.0,10,2022,3,7,11
Karlen McCaffrey,Canada,Caramel Stuffed Bars,2022-03-02,3346.0,304,2022,1,3,2
Madelene Upcott,Australia,Raspberry Choco,2022-07-13,6321.0,88,2022,3,7,13
Rafaelita Blaksland,UK,Spicy Special Slims,2022-08-03,9345.0,133,2022,3,8,3
Curtice Advani,UK,Peanut Butter Cubes,2022-03-01,15008.0,165,2022,1,3,1
Kelci Walkden,New Zealand,White Choc,2022-04-13,7609.0,150,2022,2,4,13
Beverie Moffet,Canada,Fruit & Nut Bars,2022-02-14,10332.0,180,2022,1,2,14
Mallorie Waber,India,White Choc,2022-07-26,819.0,213,2022,3,7,26
Brien Boise,UK,Drinking Coco,2022-01-27,5754.0,133,2022,1,1,27
Jehu Rudeforth,India,Peanut Butter Cubes,2022-04-14,28.0,446,2022,2,4,14
Oby Sorrel,USA,Almond Choco,2022-05-19,6440.0,141,2022,2,5,19
Husein Augar,India,Eclairs,2022-02-09,4956.0,58,2022,1,2,9
Brien Boise,UK,Spicy Special Slims,2022-05-25,2352.0,58,2022,2,5,25
Oby Sorrel,Australia,Manuka Honey Choco,2022-01-26,3906.0,76,2022,1,1,26
Beverie Moffet,India,White Choc,2022-07-04,1813.0,296,2022,3,7,4
Ches Bonnell,India,Almond Choco,2022-04-13,11788.0,73,2022,2,4,13
Gigi Bohling,Australia,Smooth Sliky Salty,2022-01-25,5768.0,119,2022,1,1,25
Camilla Castle,USA,85% Dark Bars,2022-04-25,2401.0,78,2022,2,4,25
Camilla Castle,USA,Eclairs,2022-06-10,4515.0,392,2022,2,6,10
Madelene Upcott,New Zealand,White Choc,2022-08-22,10794.0,51,2022,3,8,22
Van Tuxwell,India,After Nines,2022-06-27,13706.0,207,2022,2,6,27
Husein Augar,India,Orange Choco,2022-06-30,4361.0,40,2022,2,6,30
Jehu Rudeforth,India,Almond Choco,2022-08-30,10122.0,100,2022,3,8,30
Karlen McCaffrey,Australia,Raspberry Choco,2022-08-23,994.0,57,2022,3,8,23
Camilla Castle,New Zealand,99% Dark & Pure,2022-08-26,2268.0,42,2022,3,8,26
Gigi Bohling,Australia,Orange Choco,2022-03-09,574.0,156,2022,1,3,9
Kelci Walkden,UK,Drinking Coco,2022-04-20,1792.0,23,2022,2,4,20
Mallorie Waber,Canada,Caramel Stuffed Bars,2022-06-10,4844.0,539,2022,2,6,10
Husein Augar,Australia,Organic Choco Syrup,2022-02-08,938.0,158,2022,1,2,8
Brien Boise,Australia,White Choc,2022-08-25,4879.0,22,2022,3,8,25
Dotty Strutley,India,Peanut Butter Cubes,2022-02-16,9107.0,73,2022,1,2,16
Dennison Crosswaite,UK,99% Dark & Pure,2022-05-30,12187.0,27,2022,2,5,30
Gigi Bohling,New Zealand,50% Dark Bites,2022-06-29,5670.0,64,2022,2,6,29
Gigi Bohling,USA,Milk Bars,2022-06-16,476.0,133,2022,2,6,16
Brien Boise,UK,Caramel Stuffed Bars,2022-03-04,2681.0,149,2022,1,3,4
Curtice Advani,New Zealand,Peanut Butter Cubes,2022-03-15,1533.0,434,2022,1,3,15
Curtice Advani,New Zealand,50% Dark Bites,2022-01-27,9765.0,85,2022,1,1,27
Beverie Moffet,Canada,Drinking Coco,2022-07-05,994.0,118,2022,3,7,5
Barr Faughny,USA,Caramel Stuffed Bars,2022-03-29,3318.0,299,2022,1,3,29
Mallorie Waber,Canada,Almond Choco,2022-05-12,4214.0,35,2022,2,5,12
Oby Sorrel,USA,Drinking Coco,2022-03-11,7714.0,44,2022,1,3,11
Brien Boise,New Zealand,Eclairs,2022-07-11,4690.0,299,2022,3,7,11
Gunar Cockshoot,New Zealand,Choco Coated Almonds,2022-08-01,13062.0,62,2022,3,8,1
Gunar Cockshoot,UK,Spicy Special Slims,2022-02-16,12488.0,200,2022,1,2,16
Curtice Advani,USA,After Nines,2022-04-13,14147.0,235,2022,2,4,13
Oby Sorrel,India,Choco Coated Almonds,2022-02-14,49.0,363,2022,1,2,14
Ches Bonnell,Australia,Peanut Butter Cubes,2022-03-14,10199.0,68,2022,1,3,14
Oby Sorrel,Australia,Spicy Special Slims,2022-04-26,11389.0,26,2022,2,4,26
Jehu Rudeforth,Canada,Manuka Honey Choco,2022-04-05,3584.0,200,2022,2,4,5
Camilla Castle,Canada,Drinking Coco,2022-03-03,12481.0,264,2022,1,3,3
Kaine Padly,USA,Spicy Special Slims,2022-06-13,2107.0,175,2022,2,6,13
Marney O'Breen,New Zealand,70% Dark Bites,2022-02-14,8603.0,352,2022,1,2,14
Roddy Speechley,New Zealand,99% Dark & Pure,2022-04-18,7483.0,183,2022,2,4,18
Oby Sorrel,New Zealand,85% Dark Bars,2022-02-01,3381.0,417,2022,1,2,1
Dotty Strutley,New Zealand,Orange Choco,2022-08-04,2030.0,146,2022,3,8,4
Andria Kimpton,New Zealand,Almond Choco,2022-04-05,6559.0,158,2022,2,4,5
Karlen McCaffrey,Australia,99% Dark & Pure,2022-01-26,10822.0,168,2022,1,1,26
Kaine Padly,UK,After Nines,2022-01-21,18697.0,176,2022,1,1,21
Kaine Padly,Canada,After Nines,2022-08-22,5845.0,172,2022,3,8,22
Kaine Padly,UK,Drinking Coco,2022-01-27,2317.0,224,2022,1,1,27
Rafaelita Blaksland,UK,50% Dark Bites,2022-02-16,10150.0,68,2022,1,2,16
Dotty Strutley,USA,Raspberry Choco,2022-01-03,3437.0,46,2022,1,1,3
Karlen McCaffrey,USA,White Choc,2022-08-24,4592.0,2,2022,3,8,24
Oby Sorrel,USA,Spicy Special Slims,2022-02-07,5691.0,417,2022,1,2,7
Mallorie Waber,Australia,Smooth Sliky Salty,2022-02-11,4158.0,109,2022,1,2,11
Kaine Padly,Canada,Organic Choco Syrup,2022-03-29,5684.0,81,2022,1,3,29
Marney O'Breen,USA,Peanut Butter Cubes,2022-06-15,693.0,350,2022,2,6,15
Dennison Crosswaite,UK,Smooth Sliky Salty,2022-04-26,546.0,142,2022,2,4,26
Brien Boise,Australia,Organic Choco Syrup,2022-07-15,4263.0,264,2022,3,7,15
Beverie Moffet,India,Organic Choco Syrup,2022-06-23,1036.0,20,2022,2,6,23
Dennison Crosswaite,Australia,Baker's Choco Chips,2022-01-11,13846.0,421,2022,1,1,11
Beverie Moffet,UK,50% Dark Bites,2022-02-09,2499.0,271,2022,1,2,9
Van Tuxwell,UK,Almond Choco,2022-06-06,10689.0,204,2022,2,6,6
Dotty Strutley,UK,Caramel Stuffed Bars,2022-08-10,5768.0,235,2022,3,8,10
Wilone O'Kielt,Australia,Smooth Sliky Salty,2022-01-04,2226.0,46,2022,1,1,4
Andria Kimpton,Canada,70% Dark Bites,2022-04-08,10262.0,15,2022,2,4,8
Barr Faughny,UK,Milk Bars,2022-03-02,3864.0,430,2022,1,3,2
Van Tuxwell,Canada,Drinking Coco,2022-06-15,4900.0,709,2022,2,6,15
Jehu Rudeforth,Australia,After Nines,2022-02-14,5250.0,47,2022,1,2,14
Husein Augar,UK,After Nines,2022-07-05,3507.0,380,2022,3,7,5
Barr Faughny,India,Mint Chip Choco,2022-01-12,7413.0,465,2022,1,1,12
Curtice Advani,India,Mint Chip Choco,2022-03-03,8155.0,96,2022,1,3,3
Jehu Rudeforth,New Zealand,Milk Bars,2022-05-18,2478.0,188,2022,2,5,18
Gunar Cockshoot,India,Caramel Stuffed Bars,2022-07-28,2471.0,202,2022,3,7,28
Curtice Advani,UK,Manuka Honey Choco,2022-02-07,1666.0,106,2022,1,2,7
Andria Kimpton,India,Orange Choco,2022-05-30,301.0,421,2022,2,5,30
Mallorie Waber,Australia,Raspberry Choco,2022-04-25,8400.0,27,2022,2,4,25
Beverie Moffet,Canada,85% Dark Bars,2022-02-16,6139.0,45,2022,1,2,16
Kelci Walkden,Australia,Drinking Coco,2022-05-04,1288.0,60,2022,2,5,4
Van Tuxwell,Canada,70% Dark Bites,2022-06-02,7077.0,77,2022,2,6,2
Dennison Crosswaite,USA,Caramel Stuffed Bars,2022-07-11,2317.0,464,2022,3,7,11
Beverie Moffet,New Zealand,Spicy Special Slims,2022-06-07,63.0,60,2022,2,6,7
Jan Morforth,UK,Almond Choco,2022-07-06,9744.0,157,2022,3,7,6
Husein Augar,India,Raspberry Choco,2022-06-15,9954.0,154,2022,2,6,15
Dotty Strutley,India,Mint Chip Choco,2022-04-14,1260.0,239,2022,2,4,14
Camilla Castle,India,Drinking Coco,2022-08-08,469.0,163,2022,3,8,8
Marney O'Breen,UK,Drinking Coco,2022-03-29,973.0,28,2022,1,3,29
Roddy Speechley,Australia,Organic Choco Syrup,2022-07-04,3647.0,76,2022,3,7,4
Ches Bonnell,India,99% Dark & Pure,2022-02-16,455.0,96,2022,1,2,16
Rafaelita Blaksland,Canada,Spicy Special Slims,2022-05-02,2520.0,156,2022,2,5,2
Van Tuxwell,India,Eclairs,2022-07-21,10500.0,106,2022,3,7,21
Gunar Cockshoot,Australia,99% Dark & Pure,2022-08-18,7952.0,235,2022,3,8,18
Kaine Padly,USA,85% Dark Bars,2022-06-22,483.0,259,2022,2,6,22
Camilla Castle,UK,Peanut Butter Cubes,2022-07-19,4872.0,126,2022,3,7,19
Madelene Upcott,UK,Peanut Butter Cubes,2022-08-12,7756.0,85,2022,3,8,12
Madelene Upcott,USA,Choco Coated Almonds,2022-06-07,5446.0,132,2022,2,6,7
Marney O'Breen,Canada,Peanut Butter Cubes,2022-03-08,6594.0,91,2022,1,3,8
Ches Bonnell,Australia,Choco Coated Almonds,2022-04-08,1470.0,167,2022,2,4,8
Curtice Advani,Canada,Eclairs,2022-05-06,721.0,203,2022,2,5,6
Roddy Speechley,India,Drinking Coco,2022-05-31,4494.0,11,2022,2,5,31
Van Tuxwell,Australia,Mint Chip Choco,2022-01-13,2674.0,295,2022,1,1,13
Dennison Crosswaite,USA,70% Dark Bites,2022-03-15,658.0,77,2022,1,3,15
Andria Kimpton,Canada,Peanut Butter Cubes,2022-02-16,1127.0,319,2022,1,2,16
Gigi Bohling,USA,70% Dark Bites,2022-01-14,7364.0,196,2022,1,1,14
Rafaelita Blaksland,Australia,White Choc,2022-03-21,6818.0,102,2022,1,3,21
Roddy Speechley,Canada,Drinking Coco,2022-05-17,6776.0,312,2022,2,5,17
Camilla Castle,New Zealand,85% Dark Bars,2022-08-08,15099.0,55,2022,3,8,8
Madelene Upcott,Canada,Milk Bars,2022-04-26,3612.0,82,2022,2,4,26
Madelene Upcott,Australia,70% Dark Bites,2022-04-15,3710.0,260,2022,2,4,15
Oby Sorrel,Canada,Eclairs,2022-05-19,6111.0,591,2022,2,5,19
Dennison Crosswaite,Canada,Drinking Coco,2022-01-10,2702.0,24,2022,1,1,10
Mallorie Waber,New Zealand,After Nines,2022-05-04,483.0,228,2022,2,5,4
Roddy Speechley,Canada,White Choc,2022-04-05,5887.0,268,2022,2,4,5
Andria Kimpton,India,After Nines,2022-01-17,952.0,68,2022,1,1,17
Roddy Speechley,India,Spicy Special Slims,2022-03-22,10647.0,173,2022,1,3,22
Dotty Strutley,Australia,White Choc,2022-07-05,6055.0,93,2022,3,7,5
Oby Sorrel,Canada,Orange Choco,2022-04-27,8757.0,338,2022,2,4,27
Kaine Padly,Canada,Almond Choco,2022-08-12,6055.0,73,2022,3,8,12
Jan Morforth,UK,Baker's Choco Chips,2022-03-11,721.0,251,2022,1,3,11
Jehu Rudeforth,UK,Fruit & Nut Bars,2022-05-13,8589.0,229,2022,2,5,13
Dennison Crosswaite,USA,Smooth Sliky Salty,2022-05-12,11781.0,91,2022,2,5,12
Brien Boise,USA,Raspberry Choco,2022-01-12,672.0,194,2022,1,1,12
Madelene Upcott,New Zealand,Milk Bars,2022-03-29,12558.0,403,2022,1,3,29
Roddy Speechley,India,50% Dark Bites,2022-03-14,8337.0,12,2022,1,3,14
Barr Faughny,New Zealand,99% Dark & Pure,2022-05-24,8134.0,195,2022,2,5,24
Dennison Crosswaite,Canada,Organic Choco Syrup,2022-01-28,8491.0,75,2022,1,1,28
Beverie Moffet,India,Almond Choco,2022-05-24,3066.0,96,2022,2,5,24
Brien Boise,Australia,Peanut Butter Cubes,2022-08-19,301.0,205,2022,3,8,19
Karlen McCaffrey,Australia,Spicy Special Slims,2022-05-17,4410.0,323,2022,2,5,17
Jehu Rudeforth,USA,White Choc,2022-06-07,6559.0,119,2022,2,6,7
Ches Bonnell,Canada,Organic Choco Syrup,2022-07-26,574.0,217,2022,3,7,26
Dotty Strutley,India,Eclairs,2022-07-28,2086.0,384,2022,3,7,28
Karlen McCaffrey,India,70% Dark Bites,2022-05-23,5075.0,344,2022,2,5,23
